"city","yrs_on_list","industry","url","state_s","revenue","state_l","metro","rank","company","growth","id","workers"
"El Segundo","2","Consumer Products & Services","fuhu","CA","195640000","California","Los Angeles","1","Fuhu","158956.9106","22890","227"
"El Segundo","1","Food & Beverage","quest-nutrition","CA","82640563","California","Los Angeles","2","Quest Nutrition","57347.9246","25747","191"
"Arlington","1","Business Products & Services","reliant-asset-management","VA","85076502","Virginia","Washington, DC","3","Reliant Asset Management","55460.1646","25643","145"
"Palo Alto","1","Software","superfish","CA","35293000","California","San Jose","4","Superfish","26042.963","26098","62"
"Maynard","1","Telecommunications","acacia-communications","MA","77652360","Massachusetts","Boston","5","Acacia Communications","20690.4578","26182","92"
"Auburn","2","Energy","provider-power","ME","137977203","Maine","Lewiston-Auburn, ME","6","Provider Power","19876.5169","22913","50"
"South San Francisco","2","Health","crescendo-bioscience","CA","27308000","California","San Francisco","7","Crescendo Bioscience","18375.0693","22937","129"
"Scottsdale","1","Health","plexus-worldwide","AZ","159897088","Arizona","Phoenix","8","Plexus Worldwide","16457.6529","25413","130"
"Portland","1","Travel & Hospitality","vacasa","OR","26263454","Oregon","Portland, OR","9","Vacasa","16192.061","26079","264"
"Wilmington","1","Energy","go-energies","NC","32851754","North Carolina","Wilmington, NC","10","Go Energies","16006.8013","25861","11"
"Boulder","1","Consumer Products & Services","minute-key","CO","15782039","Colorado","Boulder, CO","11","Minute Key","14588.3448","25231","113"
"Lenexa","1","Business Products & Services","sainstore","KS","19243863","Kansas","Waterloo-Cedar Falls, IA","12","Sainstore","14086.513","26450","135"
"Jacksonville","2","Health","the-hci-group","FL","34583142","Florida","Jacksonville, FL","13","The HCI Group","13230.9467","22892","153"
"Palmetto","1","Health","dynamic-dental-partners-group","FL","19802935","Florida","Sarasota-Bradenton-Venice, FL","14","Dynamic Dental Partners Group","12895.5867","26223","313"
"Raleigh","1","Food & Beverage","aseptia","NC","13887650","North Carolina","Raleigh-Cary, NC","15","Aseptia","12427.4225","25021","159"
"Honolulu","1","Health","asentra-health","HI","20445071","Hawaii","Honolulu, HI","16","Asentra Health","12127.9133","26535","34"
"Los Angeles","1","Energy","american-solar-direct","CA","52086567","California","Los Angeles","17","American Solar Direct","11560.3538","24632","436"
"McLean","1","Government Services","prescient-edge","VA","12315210","Virginia","Washington, DC","18","Prescient Edge","11497.7718","26246","42"
"Scottsdale","2","Financial Services","bluesquare-resolutions","AZ","46400872","Arizona","Phoenix","19","BlueSquare Resolutions","11488.6004","22962","27"
"Fairhope","1","Engineering","bes-designbuild","AL","11819161","Alabama","Daphne-Fairhope-Foley, AL","20","BES Design/Build","11374.9136","25398","44"
"Austin","1","Financial Services","simpler-trading","TX","11260000","Texas","Austin","21","Simpler Trading","10522.6415","25290","12"
"Richmond","1","Food & Beverage","sweetfrog-premium-frozen-yogurt","VA","34382478","Virginia","Richmond, VA","22","sweetFrog Premium Frozen Yogurt","10371.7994","24803","790"
"Tempe","1","Financial Services","base-commerce","AZ","12479598","Arizona","Phoenix","23","Base Commerce","10186.259","25925","17"
"Dallas","1","IT Services","cpsg-partners","TX","17095000","Texas","Dallas","24","CPSG Partners","9531.6371","25323","102"
"Tampa","1","Health","medhok","FL","17037000","Florida","Tampa","25","MedHOK","9109.1892","25679","102"
"Miami","1","Advertising & Marketing","showroom-logic","FL","13443409","Florida","Miami","26","Showroom Logic","8448.5785","25524","90"
"Morrisville","1","Consumer Products & Services","weveel","PA","9007000","Pennsylvania","Dallas","27","WeVeel","8239.8148","25360","27"
"Westlake Village","1","Consumer Products & Services","packit","CA","11874148","California","Los Angeles","28","PackIt","7877.9544","25764","10"
"Scottsdale","1","Financial Services","american-retirement-advisors","AZ","13876488","Arizona","Phoenix","29","American Retirement Advisors","7758.1594","25317","8"
"Indianapolis","1","Business Products & Services","highpoint-global","IN","95810719","Indiana","Indianapolis, IN","30","HighPoint Global","7638.5408","26342","200"
"Columbia","1","Advertising & Marketing","adkarma","MO","13326503","Missouri","Columbia, MO","31","AdKarma","7635.2397","24949","33"
"Berkeley Heights","1","IT Services","axtria","NJ","8963909","New Jersey","New York City","32","Axtria","7351.2959","25188","176"
"San Francisco","1","Retail","dolls-kill","CA","7585000","California","San Francisco","33","Dolls Kill","7055.6604","25240","24"
"New York","1","Business Products & Services","centric-digital","NY","18045419","New York","New York City","34","Centric Digital","6898.4173","25357","140"
"Troy","1","Financial Services","retail-capital","MI","7013359","Michigan","Detroit","35","Retail Capital","6861.3577","25522","55"
"Madison","2","Health","restore-health","WI","6821205","Wisconsin","Madison, WI","36","Restore Health","6663.1769","22949","61"
"North Richland Hills","1","Financial Services","openroad-lending","TX","8853881","Texas","Dallas","37","OpenRoad Lending","6603.3722","25527","53"
"New Orleans","1","Government Services","pontchartrain-partners","LA","10545091","Louisiana","New Orleans-Metairie-Kenner, LA","38","Pontchartrain Partners","6535.0538","25755","25"
"Chevy Chase","1","Consumer Products & Services","team-extreme-marketing-international","MD","6772856","Maryland","Washington, DC","39","Team Extreme Marketing International","6369.1921","25634","1"
"Des Moines","1","Energy","choice-energy","IA","20894369","Iowa","Des Moines-West Des Moines, IA","40","Choice Energy","6020.9548","25306","4"
"New York","1","Advertising & Marketing","revimedia","NY","5963105","New York","New York City","41","ReviMedia","5817.1289","26117","24"
"Pleasanton","1","Software","smartzip-analytics","CA","11396150","California","San Francisco","42","SmartZip Analytics","5811.3568","26490","96"
"Huntsville","1","Government Services","thompson-gray","AL","14104761","Alabama","Huntsville, AL","43","Thompson Gray","5752.5251","25659","48"
"Norman","1","IT Services","mcsg-technologies","OK","7686703","Oklahoma","Oklahoma City, OK","44","MCSG Technologies","5715.2859","26179","147"
"Tyler","1","Security","innovative-surveillance-solutions","TX","10247444","Texas","Tyler, TX","45","Innovative Surveillance Solutions","5604.7826","25965","20"
"Madison","1","Health","nordic","WI","81410104","Wisconsin","Madison, WI","46","Nordic","5593.0143","25677","379"
"Richmond","1","Real Estate","michigan-realty-solutions","MI","6178120","Michigan","Detroit","47","Michigan Realty Solutions","5530.8057","25385","40"
"Enon","1","Real Estate","ohio-investments","OH","23809245","Ohio","Springfield, OH","48","Ohio Investments","5507.4529","25931","17"
"New York","1","Retail","adore-me","NY","5637838","New York","New York City","49","Adore Me","5505.55","25654","30"
"Sunrise","1","Health","iq-formulations","FL","8269660","Florida","Miami","50","IQ Formulations","5486.2116","26146","35"
"Chicago","1","Software","max-digital","IL","6577541","Illinois","Chicago","51","MAX Digital","5483.1298","26092","32"
"New Orleans","1","Construction","maxhome","LA","5792929","Louisiana","New Orleans-Metairie-Kenner, LA","52","MaxHome","5438.9673","25699","50"
"Cranston","5","Retail","alex-and-ani","RI","230109687","Rhode Island","Providence-New Bedford-Fall River, RI-MA","53","Alex and Ani","5220.9165","17948","1106"
"New York","1","Advertising & Marketing","crowdtap","NY","6261593","New York","New York City","54","Crowdtap","5217.2043","25453","46"
"Elgin","1","Manufacturing","compass-automation","IL","5703235","Illinois","Chicago","55","Compass Automation","5214.2331","25107","30"
"San Diego","1","Real Estate","multifamily-utility","CA","5757194","California","San Diego","56","Multifamily Utility","5196.0656","25445","35"
"Scottsdale","3","Health","the-joint","AZ","5958067","Arizona","Phoenix","57","The Joint","5139.4732","21041","19"
"San Francisco","1","Software","bizness-apps","CA","6178728","California","San Francisco","58","Bizness Apps","5078.5874","26233","70"
"Los Angeles","1","Manufacturing","ecosense-lighting","CA","15363997","California","Los Angeles","59","EcoSense Lighting","5059.1489","25846","59"
"San Diego","1","Consumer Products & Services","photobin","CA","6385268","California","San Diego","60","PhotoBin","5003.4376","26043","61"
"Fort Worth","1","Advertising & Marketing","pmg-worldwide","TX","5764577","Texas","Dallas","61","PMG Worldwide","5000.4026","25914","44"
"Englewood","3","Financial Services","victor-securities","NJ","6494832","New Jersey","New York City","62","Victor Securities","4897.024","21105","19"
"Irving","1","IT Services","elan-technologies","TX","9149555","Texas","Dallas","63","eLan Technologies","4863.7089","24951","89"
"Maple Glen","1","Financial Services","centennial-lending-group","PA","166889598","Pennsylvania","Philadelphia","64","Centennial Lending Group","4845.0294","25166","41"
"Brooklyn","1","Health","tough-mudder","NY","107900476","New York","New York City","65","Tough Mudder","4737.5104","26157","143"
"Laguna Niguel","3","Software","netcom3-global","CA","30058088","California","Los Angeles","66","Netcom3 Global","4724.7797","21440","40"
"Huntsville","1","Government Services","gideon-services","AL","23252268","Alabama","Huntsville, AL","67","Gideon Services","4723.0413","26204","3"
"Washington","2","Government Services","viderity","DC","18327000","District of Columbia","Washington, DC","68","Viderity","4722.8947","22983","34"
"Waltham","1","Software","affectiva","MA","5017670","Massachusetts","Boston","69","Affectiva","4676.4588","25774","37"
